Year,Employees
2021,672789.00
2020,662600.00
2019,641838.00
2018,655722.00
2017,648104.00
2016,615360.00
2015,610076.00
2014,583423.00
2013,563066.00
2012,533469.00
2011,502000.00
2010,399381.00
