Year,Personnel expense ratio,Return on sales before tax,Return on sales after tax,Change in unit sales year-on-year3,Change in sales revenue year-on-year,Return on investment (ROI)5,Equity ratio(Auotomotive group),Equity Ratio ( VW AG )
2020,18.2,5.2,4.0,-16.4,-14.3,6.5,38.1,25.9
2019,17,7.3,5.6,+0.5,+5.7,11.2,37.6,25.3
2018,17.5,6.6,5.2,+1.1,+2.7,11.0,37.9,25.6
2017,17,6,5,+3.7,+5.3,12.1,36.9,25.8
2016,17,3.4,2.5,+3.8,+1.1,8.2,31.4,22.7
